measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,547,Mississippi,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05307352521083848,0.05840903734653577,0.048069626590412
5,Prevalence,536,Illinois,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.045906029954784176,0.050773071756405615,0.041638511796114566
5,Prevalence,569,Virginia,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.053881837813058324,0.0594139518443654,0.04912732993575243
5,Prevalence,525,Arizona,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.055341405855210024,0.06092466452474512,0.0503841789258964
5,Prevalence,539,Kansas,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05246499294271464,0.05777634348069905,0.04757472077285637
5,Prevalence,558,Ohio,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.051735506014827404,0.05687753076001545,0.04704241695148257
5,Prevalence,570,Washington,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05712756344297604,0.0629316700436788,0.05185099610676213
5,Prevalence,548,Missouri,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.048472410018156185,0.05385572076030055,0.04384925297604955
5,Prevalence,559,Oklahoma,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05756811621156538,0.06334312405037038,0.05227460118609664
5,Prevalence,561,Pennsylvania,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.0492580019408325,0.053981072016962686,0.04478363214365872
5,Prevalence,526,Arkansas,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.06021354698065968,0.06630186282258214,0.0548779789220188
5,Prevalence,528,Colorado,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05765939144420222,0.06340721787568604,0.05236962641952747
5,Prevalence,540,Kentucky,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05571371504274495,0.061255749285201944,0.0506523379496932
5,Prevalence,550,Nebraska,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.048584231842141105,0.05350015546936688,0.04426332013757028
5,Prevalence,572,Wisconsin,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.053334782148993246,0.0586822176151322,0.04843976834025087
5,Prevalence,538,Iowa,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04911202503555728,0.05402318426676843,0.04470736156531748
5,Prevalence,537,Indiana,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.0563215111269965,0.06222458304415051,0.051069080238150925
5,Prevalence,530,Delaware,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05297839372380393,0.05844783683443663,0.04819596318316093
5,Prevalence,549,Montana,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.054752520682557856,0.06026393482059436,0.04975240220434212
5,Prevalence,563,South Carolina,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.055843790688835555,0.06157886505049717,0.050578179171792734
5,Prevalence,551,Nevada,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.057361036531225464,0.06357322047428492,0.05220687308966407
5,Prevalence,562,Rhode Island,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.059567823500994876,0.06526032444202222,0.054207466597568796
5,Prevalence,529,Connecticut,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.0420338045969487,0.046755846532058935,0.03789396550784136
5,Prevalence,527,California,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04580978538674654,0.05076922911329523,0.04149510135120512
5,Prevalence,561,Pennsylvania,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.049215529539047946,0.053918588244265646,0.044849983386838536
5,Prevalence,528,Colorado,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.0578399739495998,0.0637169880044373,0.052839608342771315
5,Prevalence,553,New Jersey,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.04421579382135016,0.04885771959742421,0.04019240988637685
5,Prevalence,524,Alaska,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05418483634300836,0.05985090994438122,0.04916323426094665
5,Prevalence,551,Nevada,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05755917581004132,0.0638339693906646,0.05231345981204013
5,Prevalence,543,Maryland,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.048508471394482486,0.05467438587710673,0.04344703312800295
5,Prevalence,532,Florida,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05566559643141386,0.062142712024504235,0.05059951616586893
5,Prevalence,572,Wisconsin,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05331711113448837,0.05848913669527768,0.04857299922583604
5,Prevalence,540,Kentucky,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.0556365235702725,0.061261643906623905,0.050663148875732936
5,Prevalence,563,South Carolina,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05578301610070929,0.061481826042030716,0.05051822269458992
5,Prevalence,530,Delaware,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05295423259458651,0.05850227791436288,0.04830914025513597
5,Prevalence,524,Alaska,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05393268792245932,0.05961556179032088,0.048748088718990806
5,Prevalence,534,Hawaii,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.049577784143866835,0.054609478037438784,0.045306925114191696
5,Prevalence,566,Texas,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.04854229864612807,0.05364050308285328,0.04391275273478686
5,Prevalence,571,West Virginia,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.06031272973499274,0.06623613142155568,0.05488042549014767
5,Prevalence,541,Louisiana,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.049753324724367894,0.05502324817967203,0.04523519931631552
5,Prevalence,543,Maryland,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04856779042964439,0.054793789489040005,0.04347244403731504
5,Prevalence,553,New Jersey,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04423863106462906,0.04888734513011608,0.040131330814620995
5,Prevalence,555,New York,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05340416523279563,0.05883147037922739,0.048469179976688974
5,Prevalence,532,Florida,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05579860901742535,0.062033325458772694,0.05082517113774387
5,Prevalence,568,Vermont,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.055695673151607436,0.06098125041529242,0.050691694670329183
5,Prevalence,557,North Dakota,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.045837296557609875,0.050718875634069883,0.041446454805869
5,Prevalence,545,Michigan,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05174053832724526,0.05707446246536996,0.04707652752745188
5,Prevalence,566,Texas,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04857024753216301,0.053769605901812574,0.04401793319987625
5,Prevalence,536,Illinois,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.04584432230049971,0.050655161225838775,0.04158734730101924
5,Prevalence,555,New York,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05330324734749758,0.058501566472741226,0.04842452128046293
5,Prevalence,547,Mississippi,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.053084597398274806,0.05880112796980726,0.04814717193503832
5,Prevalence,526,Arkansas,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.06029271337019036,0.06663931874367961,0.05489609984668137
5,Prevalence,573,Wyoming,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05778602959337296,0.0638897287827742,0.05272547970149675
5,Prevalence,538,Iowa,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.049070796443538574,0.05408102666395413,0.04460739306248674
5,Prevalence,539,Kansas,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05248469665944926,0.057981720349492116,0.04743158522434547
5,Prevalence,542,Maine,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05416175111862459,0.059439638647357095,0.049394091769793785
5,Prevalence,570,Washington,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.057043914457654776,0.06263115545374666,0.051941958549743296
5,Prevalence,545,Michigan,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05164870541451118,0.05681923118815173,0.046757950696004406
5,Prevalence,534,Hawaii,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04954255360318192,0.05471825110131356,0.0451658750703688
5,Prevalence,568,Vermont,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.055698209336364234,0.06114254561639205,0.05060474303799163
5,Prevalence,557,North Dakota,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04581597497666662,0.050673097031038936,0.041449165819570845
5,Prevalence,550,Nebraska,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.048679863073019886,0.05366594224196914,0.044229602662115425
5,Prevalence,544,Massachusetts,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.0512299375227931,0.0567506704604423,0.046317794343046496
5,Prevalence,573,Wyoming,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05772079479181473,0.06372592116268164,0.05243891231256365
5,Prevalence,552,New Hampshire,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05752943067185169,0.06304391177545798,0.05225753764318364
5,Prevalence,549,Montana,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.054847163224602424,0.06042588536317393,0.049864204305187766
5,Prevalence,559,Oklahoma,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05767923178774739,0.06366419126962222,0.05246756218049003
5,Prevalence,552,New Hampshire,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05741985099380033,0.06316283690332145,0.05225548564505637
5,Prevalence,531,District of Columbia,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.046561434506875034,0.051802328638069134,0.04209900425285523
5,Prevalence,523,Alabama,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.05047267603604119,0.05602309061242034,0.045861543643995334
5,Prevalence,560,Oregon,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05760704301785633,0.06347348071747354,0.05249617198108382
5,Prevalence,562,Rhode Island,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.059580517677704774,0.06529967585395045,0.05438887656689362
5,Prevalence,529,Connecticut,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.04211797715101474,0.04688753887444704,0.037857077712385924
5,Prevalence,523,Alabama,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.05043283546354774,0.05594702757967298,0.04569323380052483
5,Prevalence,564,South Dakota,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.04508287504491616,0.050154243575053326,0.04086381204373513
5,Prevalence,531,District of Columbia,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2002,0.0465674795448475,0.051858703921345194,0.04206702065145437
5,Prevalence,553,New Jersey,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2004,0.044204510995845235,0.04876947997172331,0.04009807023994258
5,Prevalence,531,District of Columbia,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2004,0.046592045300306154,0.05198168886307049,0.04202283100499859
5,Prevalence,534,Hawaii,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2005,0.04967738045507528,0.05473605551081318,0.045283740689314816
5,Prevalence,545,Michigan,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2005,0.05195009550199318,0.05739470197231714,0.04725339255474238
5,Prevalence,564,South Dakota,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2004,0.0450873986612475,0.05012599051514891,0.04072973944656245
5,Prevalence,524,Alaska,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2005,0.05454722412790885,0.06061216139560127,0.04923256770603868
5,Prevalence,554,New Mexico,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.060092247898624634,0.06621707634801294,0.05476038184481587
5,Prevalence,523,Alabama,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2005,0.05059876491432285,0.05650717501073324,0.04580810543035211
5,Prevalence,543,Maryland,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2004,0.04849765728351356,0.05475688273063453,0.04323864564405448
5,Prevalence,565,Tennessee,3,Both,22,All Ages,567,Depressive disorders,2,Percent,2003,0.056656588732415636,0.0624719924376327,0.05171731210654063
